iter	Logloss
0	0.6799421216
1	0.6682283959
2	0.6574740199
3	0.6481304565
4	0.6396075349
5	0.6323337468
6	0.6257216254
7	0.6196649297
8	0.6142328349
9	0.6092905503
10	0.6049309978
11	0.6010779316
12	0.5977501588
13	0.5945087851
14	0.5914483261
15	0.5890503622
16	0.5868216473
17	0.5844764522
18	0.5825276549
19	0.5806440658
20	0.5791219516
21	0.5774222152
22	0.5758781533
23	0.5745981683
24	0.5733953484
25	0.5723185148
26	0.5711055564
27	0.5700756105
28	0.5692002643
29	0.5681271587
30	0.5670719996
31	0.5661280526
32	0.5653533453
33	0.5645980943
34	0.5639422887
35	0.5633716567
36	0.5628318748
37	0.562127324
38	0.5615881116
39	0.5609634854
40	0.5604088458
41	0.5598476754
42	0.5593767563
43	0.5587134912
44	0.5582713169
45	0.5577438948
46	0.55717784
47	0.5567531591
48	0.5562363798
49	0.5557380286
50	0.5551059178
51	0.5546103656
52	0.5542772133
53	0.5538966384
54	0.5535058711
55	0.5530815741
56	0.5525363082
57	0.5520752719
58	0.5516340172
59	0.5511602747
60	0.5506479287
61	0.5502892331
62	0.549853374
63	0.5494875578
64	0.5492526676
65	0.5489128932
66	0.5485854804
67	0.5482509002
68	0.5479805364
69	0.5476932209
70	0.5473126787
71	0.5469333935
72	0.5464864894
73	0.5462197535
74	0.5459685927
75	0.5455209649
76	0.5452444519
77	0.5450190394
78	0.5448071989
79	0.5444439274
80	0.5441649804
81	0.5438270155
82	0.5434982202
83	0.5431697353
84	0.5429135471
85	0.5425423298
86	0.5422198477
87	0.5419380335
88	0.5415929418
89	0.5412945898
90	0.5410866942
91	0.5407150138
92	0.5403108888
93	0.5399312258
94	0.5397245924
95	0.539248032
96	0.5389158326
97	0.5386288193
98	0.538395031
99	0.5381535128
100	0.5379829885
101	0.5376613621
102	0.5373817964
103	0.5370312629
104	0.5367716666
105	0.5363354381
106	0.5361187349
107	0.5358899273
108	0.5355613188
109	0.5352789403
110	0.5350497988
111	0.5347047225
112	0.5344183695
113	0.5341305941
114	0.533913424
115	0.5337402406
116	0.5334551875
117	0.5330482814
118	0.5326924021
119	0.5324285853
120	0.532105521
121	0.5319281783
122	0.5316256397
123	0.5313661981
124	0.5310347774
125	0.5307456625
126	0.5303947336
127	0.5300320943
128	0.529760327
129	0.5295236417
130	0.5293829459
131	0.5291618097
132	0.5288610474
133	0.5285429091
134	0.5282184006
135	0.5279173221
136	0.52760439
137	0.5273536644
138	0.5271318703
139	0.5268336106
140	0.5266092126
141	0.526278145
142	0.5260284545
143	0.5256933383
144	0.5254470234
145	0.5251609196
146	0.5248937297
147	0.5247477768
148	0.5244780745
149	0.5241717126
150	0.5239165652
151	0.5237221228
152	0.5233890938
153	0.5231023423
154	0.5228682501
155	0.5225911124
156	0.5221894299
157	0.5219257617
158	0.5216652382
159	0.5213989362
160	0.5210353056
161	0.5208990843
162	0.5207048133
163	0.5205261549
164	0.520259239
165	0.5200271535
166	0.5197806651
167	0.5194531355
168	0.5190133813
169	0.5187750823
170	0.5184850892
171	0.518201328
172	0.5178926033
173	0.5176821305
174	0.5173101568
175	0.5170404467
176	0.5167558076
177	0.5165389383
178	0.5163031867
179	0.5160628711
180	0.5157625605
181	0.5156325972
182	0.5153480869
183	0.5151414973
184	0.5149123769
185	0.5145362126
186	0.5143454516
187	0.5140999561
188	0.5138307077
189	0.5136546357
190	0.5133489272
191	0.5130743814
192	0.512829593
193	0.5125499697
194	0.5123135258
195	0.5121584035
196	0.5120130973
197	0.5117414436
198	0.5114391056
199	0.5113125586
200	0.5110940135
201	0.5109086764
202	0.5105705576
203	0.5103823652
204	0.5101486104
205	0.5099015162
206	0.5097106393
207	0.5094787911
208	0.5092810382
209	0.5090403187
210	0.5088087553
211	0.5086189493
212	0.5084446877
213	0.5082752872
214	0.5080656885
215	0.5078956931
216	0.5076190997
217	0.507296901
218	0.5071056887
219	0.5069093775
220	0.5066908838
221	0.5066431475
222	0.5062706694
223	0.5060480116
224	0.5059438969
225	0.5057192841
226	0.5055288587
227	0.5052939681
228	0.5050909076
229	0.5049373622
230	0.5048126107
231	0.5046495351
232	0.5044709514
233	0.504207004
234	0.503999726
235	0.5037882813
236	0.5034434875
237	0.5031626488
238	0.5029806219
239	0.5027860416
240	0.5025969611
241	0.5023506071
242	0.5021176723
243	0.5018547471
244	0.5016381325
245	0.501344933
246	0.5011071508
247	0.5009426815
248	0.5007624181
249	0.50047769
250	0.5002698825
251	0.5000998855
252	0.4998830636
253	0.4996984388
254	0.4994662982
255	0.4991910941
256	0.4989990342
257	0.4987886427
258	0.4985794318
259	0.4983587845
260	0.4981743682
261	0.4980312475
262	0.4977889028
263	0.497647891
264	0.4974924998
265	0.4973297
266	0.497083497
267	0.4967774297
268	0.4965985283
269	0.4964171919
270	0.4960860784
271	0.4958045444
272	0.4956686184
273	0.4955660663
274	0.4953097403
275	0.4952152417
276	0.4950133287
277	0.4946596613
278	0.4944043568
279	0.4941790329
280	0.4939668665
281	0.4937249445
282	0.4934594708
283	0.4931876139
284	0.4930204355
285	0.4927541683
286	0.4925085431
287	0.4922963798
288	0.4920862398
289	0.4919223698
290	0.4917548608
291	0.4914522622
292	0.4913979177
293	0.4911701444
294	0.4909523669
295	0.4907483388
296	0.4905716334
297	0.4903876409
298	0.4902363077
299	0.4899703016
300	0.4896764314
301	0.4895111857
302	0.4893324244
303	0.4891134886
304	0.488857455
305	0.4885774538
306	0.4883934776
307	0.4882781072
308	0.4879691938
309	0.4877734419
310	0.4876427217
311	0.4874889681
312	0.4873246438
313	0.4872082604
314	0.4871009315
315	0.4869099787
316	0.4867035385
317	0.486605399
318	0.4864630718
319	0.4862851197
320	0.4860942711
321	0.485863676
322	0.4855957385
323	0.4854248903
324	0.4852915204
325	0.4850816018
326	0.4848404664
327	0.4846260192
328	0.4843222632
329	0.4841139644
330	0.4840204875
331	0.4838141543
332	0.483606052
333	0.4833425748
334	0.4830788139
335	0.48291582
336	0.4826370917
337	0.4825060886
338	0.482321903
339	0.4821761714
340	0.481970845
341	0.4817912679
342	0.4815446448
343	0.4813235826
344	0.481141546
345	0.4810224645
346	0.4808798247
347	0.4807127599
348	0.4805747179
349	0.4804065538
350	0.4801640866
351	0.4798965495
352	0.4797010994
353	0.4795053195
