iter	Logloss
354	0.4793547684
355	0.4792012816
356	0.4790073493
357	0.4788759458
358	0.4786432409
359	0.478397838
360	0.478253054
361	0.4780249886
362	0.4777999952
363	0.4776141183
364	0.4774723255
365	0.4772805742
366	0.4770552212
367	0.4768703226
368	0.476611138
369	0.4764155351
370	0.4762762949
371	0.476025616
372	0.4758269141
373	0.4756753303
374	0.4755149411
375	0.4753354787
376	0.4751063346
377	0.4749152188
378	0.4746936076
379	0.474496124
380	0.4743310843
381	0.4741742022
382	0.4739091367
383	0.4737470225
384	0.4736051244
385	0.4734403989
386	0.4733199837
387	0.4731618114
388	0.4729695554
389	0.4727847381
390	0.4725794364
391	0.4724558697
392	0.4722250957
393	0.4720705667
394	0.4718669374
395	0.471616534
396	0.4714200934
397	0.4712199912
398	0.4710142929
399	0.4708205715
400	0.4706103647
401	0.4703657215
402	0.4701431474
403	0.4698687068
404	0.4697665213
405	0.4695173499
406	0.4692449881
407	0.4689372852
408	0.468721707
409	0.4685338207
410	0.4683756212
411	0.468193983
412	0.4678929841
413	0.4676591522
414	0.4674441949
415	0.4672399928
416	0.4670321506
417	0.4669031697
418	0.4667692617
419	0.4665821355
420	0.4663728228
421	0.4661457868
422	0.4659768046
423	0.4657750587
424	0.4655593225
425	0.4653270582
426	0.4651694293
427	0.4650208202
428	0.4648759065
429	0.4646391385
430	0.464461143
431	0.464281159
432	0.4641084513
433	0.4639425322
434	0.463745528
435	0.463578795
436	0.4634924576
437	0.4633972486
438	0.4632482454
439	0.4631651552
440	0.4629338198
441	0.4627373395
442	0.4624853561
443	0.4623738157
444	0.4621710473
445	0.4619564043
446	0.4618036996
447	0.4616936432
448	0.4616019204
449	0.4613598315
450	0.4612121043
451	0.4610873903
452	0.4609196885
453	0.4606741668
454	0.4605082046
455	0.4602918563
456	0.4601246312
457	0.4599534217
458	0.4597300316
459	0.4596147276
460	0.4593403608
461	0.4591642452
462	0.4589768045
463	0.4587603815
464	0.458611668
465	0.4584385143
466	0.4582002668
467	0.4580235419
468	0.457899856
469	0.4578581163
470	0.457628012
471	0.4575063525
472	0.4573410032
473	0.4571619002
474	0.4569423507
475	0.4568046807
476	0.4566181719
477	0.4563857473
478	0.4561855926
479	0.456057231
480	0.4559786513
481	0.4557468403
482	0.4556068417
483	0.4553824155
484	0.4552229338
485	0.4550858502
486	0.4548858812
487	0.4548144782
488	0.4545909982
489	0.4544461547
490	0.4542274934
491	0.4539985361
492	0.4537506057
493	0.4535175546
494	0.4533549953
495	0.4532045636
496	0.4530084328
497	0.4528661979
498	0.4526396419
499	0.4525459655
500	0.4523090751
501	0.4521054453
502	0.4519196977
503	0.4516774965
504	0.4515398435
505	0.4513591645
506	0.4511717803
507	0.450966179
508	0.4507518557
509	0.4506296887
510	0.4503690185
511	0.4501871928
512	0.4499331842
513	0.4496777497
514	0.4494044509
515	0.4491670748
516	0.4489659327
517	0.448837244
518	0.4486378651
519	0.4484920528
520	0.4481995406
521	0.4479620486
522	0.4477771901
523	0.4475945393
524	0.4474099537
525	0.4472667192
526	0.4471707518
527	0.4470637253
528	0.4468752507
529	0.4466828724
530	0.4465070666
531	0.4462908854
532	0.4461025297
533	0.445874045
534	0.4456854953
535	0.4455262397
536	0.4453731699
537	0.4452637886
538	0.4451468317
539	0.4448856942
540	0.4447153339
541	0.44461013
542	0.4443591802
543	0.4442129045
544	0.4440386887
545	0.4438792407
546	0.4437481968
547	0.4435040604
548	0.4433449362
549	0.4431695906
550	0.4430558338
551	0.4429523909
552	0.4428167784
553	0.442612086
554	0.4423323447
555	0.4420970055
556	0.4418860835
557	0.4417112098
558	0.4415500883
559	0.4413925856
560	0.4412517779
561	0.4409871106
562	0.4408968442
563	0.4407521406
564	0.4405897128
565	0.440369741
566	0.4401633242
567	0.4400321506
568	0.4399791449
569	0.4398124679
570	0.4395749524
571	0.4394578509
572	0.4393003057
573	0.4390656103
574	0.4389028188
575	0.4387585172
576	0.438679756
577	0.4385170658
578	0.4383561556
579	0.4381493474
580	0.4379191051
581	0.4376850228
582	0.4374977781
583	0.4373199462
584	0.4371832486
585	0.437074087
586	0.436868422
587	0.4366873815
588	0.4364282499
589	0.4362617226
590	0.436117395
591	0.4358706635
592	0.4356222123
593	0.4354802464
594	0.4353140306
595	0.4351690247
596	0.4350259188
597	0.4348264341
598	0.434656332
599	0.4344937232
